Date,Open,High,Low,Close
04/01/2022,"1,272.13","1,272.13","1,272.13","1,272.13"
03/31/2022,"1,269.13","1,269.13","1,269.13","1,269.13"
03/30/2022,"1,290.99","1,290.99","1,290.99","1,290.99"
03/29/2022,"1,301.65","1,301.65","1,301.65","1,301.65"
03/28/2022,"1,282.21","1,282.21","1,282.21","1,282.21"
03/25/2022,"1,198.73","1,198.73","1,198.73","1,198.73"
03/24/2022,"1,206.05","1,206.05","1,206.05","1,206.05"
03/23/2022,"1,188.68","1,188.68","1,188.68","1,188.68"
03/22/2022,"1,187.92","1,187.92","1,187.92","1,187.92"
03/21/2022,"1,108.87","1,108.87","1,108.87","1,108.87"
03/18/2022,"1,097.71","1,097.71","1,097.71","1,097.71"
03/17/2022,"1,059.01","1,059.01","1,059.01","1,059.01"
03/16/2022,"1,027.32","1,027.32","1,027.32","1,027.32"
03/15/2022,"981.27","981.27","981.27","981.27"
03/14/2022,"941.44","941.44","941.44","941.44"
03/11/2022,"974.47","974.47","974.47","974.47"
03/10/2022,"1,020.83","1,020.83","1,020.83","1,020.83"
03/09/2022,"1,043.69","1,043.69","1,043.69","1,043.69"
03/08/2022,"1,002.50","1,002.50","1,002.50","1,002.50"
03/07/2022,"980.99","980.99","980.99","980.99"
03/04/2022,"1,024.44","1,024.44","1,024.44","1,024.44"
03/03/2022,"1,034.63","1,034.63","1,034.63","1,034.63"
03/02/2022,"1,081.87","1,081.87","1,081.87","1,081.87"
03/01/2022,"1,058.06","1,058.06","1,058.06","1,058.06"
02/28/2022,"1,076.17","1,076.17","1,076.17","1,076.17"
02/25/2022,"1,015.68","1,015.68","1,015.68","1,015.68"
02/24/2022,"1,000.60","1,000.60","1,000.60","1,000.60"
02/23/2022,"961.08","961.08","961.08","961.08"
02/22/2022,"1,022.74","1,022.74","1,022.74","1,022.74"
02/21/2022,"1,066.71","1,066.71","1,066.71","1,066.71"
02/18/2022,"1,066.71","1,066.71","1,066.71","1,066.71"
02/17/2022,"1,084.70","1,084.70","1,084.70","1,084.70"
02/16/2022,"1,137.73","1,137.73","1,137.73","1,137.73"
02/15/2022,"1,135.63","1,135.63","1,135.63","1,135.63"
02/14/2022,"1,081.96","1,081.96","1,081.96","1,081.96"
02/11/2022,"1,065.78","1,065.78","1,065.78","1,065.78"
02/10/2022,"1,118.14","1,118.14","1,118.14","1,118.14"
02/09/2022,"1,148.22","1,148.22","1,148.22","1,148.22"
02/08/2022,"1,131.04","1,131.04","1,131.04","1,131.04"
02/07/2022,"1,117.60","1,117.60","1,117.60","1,117.60"
02/04/2022,"1,135.71","1,135.71","1,135.71","1,135.71"
02/03/2022,"1,115.61","1,115.61","1,115.61","1,115.61"
02/02/2022,"1,135.74","1,135.74","1,135.74","1,135.74"
02/01/2022,"1,164.89","1,164.89","1,164.89","1,164.89"
01/31/2022,"1,164.85","1,164.85","1,164.85","1,164.85"
01/28/2022,"1,063.31","1,063.31","1,063.31","1,063.31"
01/27/2022,"1,048.67","1,048.67","1,048.67","1,048.67"
01/26/2022,"1,164.56","1,164.56","1,164.56","1,164.56"
01/25/2022,"1,146.43","1,146.43","1,146.43","1,146.43"
01/24/2022,"1,163.69","1,163.69","1,163.69","1,163.69"
01/21/2022,"1,179.87","1,179.87","1,179.87","1,179.87"
01/20/2022,"1,240.28","1,240.28","1,240.28","1,240.28"
01/19/2022,"1,248.29","1,248.29","1,248.29","1,248.29"
01/18/2022,"1,297.12","1,297.12","1,297.12","1,297.12"
01/14/2022,"1,327.94","1,327.94","1,327.94","1,327.94"
01/13/2022,"1,309.86","1,309.86","1,309.86","1,309.86"
01/12/2022,"1,384.23","1,384.23","1,384.23","1,384.23"
01/11/2022,"1,342.29","1,342.29","1,342.29","1,342.29"
01/10/2022,"1,330.03","1,330.03","1,330.03","1,330.03"
01/07/2022,"1,305.15","1,305.15","1,305.15","1,305.15"
01/06/2022,"1,341.46","1,341.46","1,341.46","1,341.46"
01/05/2022,"1,360.13","1,360.13","1,360.13","1,360.13"
01/04/2022,"1,434.04","1,434.04","1,434.04","1,434.04"
01/03/2022,"1,464.77","1,464.77","1,464.77","1,464.77"
12/31/2021,"1,311.02","1,311.02","1,311.02","1,311.02"
12/30/2021,"1,322.63","1,322.63","1,322.63","1,322.63"
12/29/2021,"1,335.24","1,335.24","1,335.24","1,335.24"
12/28/2021,"1,338.92","1,338.92","1,338.92","1,338.92"
12/27/2021,"1,346.90","1,346.90","1,346.90","1,346.90"
12/24/2021,"1,313.80","1,313.80","1,313.80","1,313.80"
12/23/2021,"1,313.80","1,313.80","1,313.80","1,313.80"
12/22/2021,"1,254.27","1,254.27","1,254.27","1,254.27"
12/21/2021,"1,178.86","1,178.86","1,178.86","1,178.86"
12/20/2021,"1,136.76","1,136.76","1,136.76","1,136.76"
12/17/2021,"1,176.07","1,176.07","1,176.07","1,176.07"
12/16/2021,"1,181.36","1,181.36","1,181.36","1,181.36"
12/15/2021,"1,232.43","1,232.43","1,232.43","1,232.43"
12/14/2021,"1,213.91","1,213.91","1,213.91","1,213.91"
12/13/2021,"1,225.66","1,225.66","1,225.66","1,225.66"
12/10/2021,"1,288.64","1,288.64","1,288.64","1,288.64"
12/09/2021,"1,259.49","1,259.49","1,259.49","1,259.49"
12/08/2021,"1,330.77","1,330.77","1,330.77","1,330.77"
12/07/2021,"1,314.24","1,314.24","1,314.24","1,314.24"
12/06/2021,"1,263.88","1,263.88","1,263.88","1,263.88"
12/03/2021,"1,266.74","1,266.74","1,266.74","1,266.74"
12/02/2021,"1,345.15","1,345.15","1,345.15","1,345.15"
12/01/2021,"1,349.74","1,349.74","1,349.74","1,349.74"
11/30/2021,"1,399.04","1,399.04","1,399.04","1,399.04"
11/29/2021,"1,397.32","1,397.32","1,397.32","1,397.32"
11/26/2021,"1,340.54","1,340.54","1,340.54","1,340.54"
11/25/2021,"1,382.28","1,382.28","1,382.28","1,382.28"
11/24/2021,"1,382.28","1,382.28","1,382.28","1,382.28"
11/23/2021,"1,377.56","1,377.56","1,377.56","1,377.56"
11/22/2021,"1,429.25","1,429.25","1,429.25","1,429.25"
11/19/2021,"1,401.22","1,401.22","1,401.22","1,401.22"
11/18/2021,"1,360.61","1,360.61","1,360.61","1,360.61"
11/17/2021,"1,359.20","1,359.20","1,359.20","1,359.20"
11/16/2021,"1,319.17","1,319.17","1,319.17","1,319.17"
11/15/2021,"1,277.23","1,277.23","1,277.23","1,277.23"
11/12/2021,"1,296.97","1,296.97","1,296.97","1,296.97"
11/11/2021,"1,325.41","1,325.41","1,325.41","1,325.41"
11/10/2021,"1,324.22","1,324.22","1,324.22","1,324.22"
11/09/2021,"1,280.75","1,280.75","1,280.75","1,280.75"
11/08/2021,"1,427.62","1,427.62","1,427.62","1,427.62"
11/05/2021,"1,482.80","1,482.80","1,482.80","1,482.80"
11/04/2021,"1,491.73","1,491.73","1,491.73","1,491.73"
11/03/2021,"1,466.47","1,466.47","1,466.47","1,466.47"
11/02/2021,"1,418.95","1,418.95","1,418.95","1,418.95"
11/01/2021,"1,456.74","1,456.74","1,456.74","1,456.74"
10/29/2021,"1,351.48","1,351.48","1,351.48","1,351.48"
10/28/2021,"1,311.72","1,311.72","1,311.72","1,311.72"
10/27/2021,"1,264.22","1,264.22","1,264.22","1,264.22"
10/26/2021,"1,251.73","1,251.73","1,251.73","1,251.73"
10/25/2021,"1,259.73","1,259.73","1,259.73","1,259.73"
10/22/2021,"1,141.48","1,141.48","1,141.48","1,141.48"
10/21/2021,"1,127.72","1,127.72","1,127.72","1,127.72"
10/20/2021,"1,094.44","1,094.44","1,094.44","1,094.44"
10/19/2021,"1,088.23","1,088.23","1,088.23","1,088.23"
10/18/2021,"1,095.24","1,095.24","1,095.24","1,095.24"
10/15/2021,"1,069.84","1,069.84","1,069.84","1,069.84"
10/14/2021,"1,042.40","1,042.40","1,042.40","1,042.40"
10/13/2021,"1,035.10","1,035.10","1,035.10","1,035.10"
