DATE,TEDRATE
1/2/1986,0.9
1/3/1986,0.99
1/6/1986,1.07
1/7/1986,1.09
1/8/1986,0.83
1/9/1986,1.01
1/10/1986,1.04
1/13/1986,1.13
1/14/1986,1.13
1/15/1986,1.06
1/16/1986,1.11
1/17/1986,1.08
1/20/1986,.
1/21/1986,1.17
1/22/1986,1.19
1/23/1986,1.22
1/24/1986,1.22
1/27/1986,1.17
1/28/1986,1.14
1/29/1986,1.03
1/30/1986,1.02
1/31/1986,1.09
2/3/1986,1.06
2/4/1986,1.08
2/5/1986,0.99
2/6/1986,0.9
2/7/1986,0.85
2/10/1986,0.92
2/11/1986,0.95
2/12/1986,0.95
2/13/1986,0.96
2/14/1986,1.04
2/17/1986,.
2/18/1986,0.98
2/19/1986,0.92
2/20/1986,0.89
2/21/1986,1.02
2/24/1986,0.98
2/25/1986,0.89
2/26/1986,0.93
2/27/1986,0.91
2/28/1986,0.86
3/3/1986,0.91
3/4/1986,0.91
3/5/1986,0.84
3/6/1986,1
3/7/1986,0.95
3/10/1986,0.95
3/11/1986,0.93
3/12/1986,0.82
3/13/1986,0.91
3/14/1986,0.96
3/17/1986,0.94
3/18/1986,0.96
3/19/1986,1.07
3/20/1986,1.12
3/21/1986,1.09
3/24/1986,1.15
3/25/1986,1.18
3/26/1986,1.15
3/27/1986,1.1
3/28/1986,.
3/31/1986,.
4/1/1986,0.98
4/2/1986,0.97
4/3/1986,0.98
4/4/1986,1.12
4/7/1986,1.01
4/8/1986,0.93
4/9/1986,0.87
4/10/1986,0.86
4/11/1986,0.92
4/14/1986,0.96
4/15/1986,1
4/16/1986,0.98
4/17/1986,0.72
4/18/1986,0.75
4/21/1986,0.82
4/22/1986,0.8
4/23/1986,0.72
4/24/1986,0.7
4/25/1986,0.8
4/28/1986,0.9
4/29/1986,0.79
4/30/1986,0.78
5/1/1986,0.76
5/2/1986,0.79
5/5/1986,.
5/6/1986,0.76
5/7/1986,0.77
5/8/1986,0.77
5/9/1986,0.79
5/12/1986,0.81
5/13/1986,0.97
5/14/1986,0.85
5/15/1986,0.83
5/16/1986,0.92
5/19/1986,0.92
5/20/1986,0.96
5/21/1986,0.86
5/22/1986,0.86
5/23/1986,0.88
5/26/1986,.
5/27/1986,0.9
5/28/1986,0.81
5/29/1986,0.76
5/30/1986,0.83
6/2/1986,0.76
6/3/1986,0.78
6/4/1986,0.67
6/5/1986,0.68
6/6/1986,0.87
6/9/1986,0.7
6/10/1986,0.84
6/11/1986,0.79
6/12/1986,0.84
6/13/1986,0.96
6/16/1986,0.91
6/17/1986,0.91
6/18/1986,0.91
6/19/1986,0.89
6/20/1986,0.96
6/23/1986,0.95
6/24/1986,0.92
6/25/1986,0.86
6/26/1986,0.92
6/27/1986,0.92
6/30/1986,0.92
7/1/1986,0.82
7/2/1986,0.81
7/3/1986,0.9
7/4/1986,.
7/7/1986,0.88
7/8/1986,0.81
7/9/1986,0.93
7/10/1986,0.9
7/11/1986,0.94
7/14/1986,0.92
7/15/1986,0.79
7/16/1986,0.79
7/17/1986,0.83
7/18/1986,0.92
7/21/1986,0.84
7/22/1986,0.83
7/23/1986,0.75
7/24/1986,0.82
7/25/1986,0.82
7/28/1986,0.74
7/29/1986,0.76
7/30/1986,0.71
7/31/1986,0.77
8/1/1986,0.67
8/4/1986,0.79
8/5/1986,0.79
8/6/1986,0.78
8/7/1986,0.78
8/8/1986,0.74
8/11/1986,0.77
8/12/1986,0.76
8/13/1986,0.68
8/14/1986,0.6
8/15/1986,0.63
8/18/1986,0.58
8/19/1986,0.63
8/20/1986,0.56
8/21/1986,0.63
8/22/1986,0.58
8/25/1986,.
8/26/1986,0.58
8/27/1986,0.43
8/28/1986,0.52
8/29/1986,0.64
9/1/1986,.
9/2/1986,0.43
9/3/1986,0.51
9/4/1986,0.62
9/5/1986,0.52
9/8/1986,0.76
9/9/1986,0.86
9/10/1986,0.78
9/11/1986,0.79
9/12/1986,1.02
9/15/1986,0.89
9/16/1986,0.93
9/17/1986,1
9/18/1986,0.83
9/19/1986,0.88
9/22/1986,0.88
9/23/1986,0.88
9/24/1986,0.88
9/25/1986,0.83
9/26/1986,0.82
9/29/1986,0.87
9/30/1986,0.92
10/1/1986,0.92
10/2/1986,0.87
10/3/1986,0.97
10/6/1986,0.89
