DATE,WM2NS
11/3/1980,1595.2
11/10/1980,1601.2
11/17/1980,1602.9
11/24/1980,1594.8
12/1/1980,1599.8
12/8/1980,1605.3
12/15/1980,1606.3
12/22/1980,1602.5
12/29/1980,1601.8
1/5/1981,1620.7
1/12/1981,1616.7
1/19/1981,1614.4
1/26/1981,1599.8
2/2/1981,1601
2/9/1981,1610.7
2/16/1981,1611.8
2/23/1981,1609
3/2/1981,1615.7
3/9/1981,1629.4
3/16/1981,1633.5
3/23/1981,1630.9
3/30/1981,1637.5
4/6/1981,1663.6
4/13/1981,1669.5
4/20/1981,1672.1
4/27/1981,1657.1
5/4/1981,1657.3
5/11/1981,1659.1
5/18/1981,1655.8
5/25/1981,1648.4
6/1/1981,1656.7
6/8/1981,1667.5
6/15/1981,1671.1
6/22/1981,1665.4
6/29/1981,1661.8
7/6/1981,1688.5
7/13/1981,1687.5
7/20/1981,1685.6
7/27/1981,1679.3
8/3/1981,1687.4
8/10/1981,1699.3
8/17/1981,1695.9
8/24/1981,1690.5
8/31/1981,1693.3
9/7/1981,1706.4
9/14/1981,1714.4
9/21/1981,1706.1
9/28/1981,1697.7
10/5/1981,1722.1
10/12/1981,1729.4
10/19/1981,1729.5
10/26/1981,1720.8
11/2/1981,1728.3
11/9/1981,1740.8
11/16/1981,1743.8
11/23/1981,1735.2
11/30/1981,1744.6
12/7/1981,1759.2
12/14/1981,1759.1
12/21/1981,1760.2
12/28/1981,1758.2
1/4/1982,1780.1
1/11/1982,1783.3
1/18/1982,1776.5
1/25/1982,1761.4
2/1/1982,1762.5
2/8/1982,1767.9
2/15/1982,1767.1
2/22/1982,1761.3
3/1/1982,1765.5
3/8/1982,1779.6
3/15/1982,1782.9
3/22/1982,1779.7
3/29/1982,1780.8
4/5/1982,1808.5
4/12/1982,1816.3
4/19/1982,1813.8
4/26/1982,1799.4
5/3/1982,1795.3
5/10/1982,1805
5/17/1982,1804.9
5/24/1982,1801.9
5/31/1982,1808.8
6/7/1982,1825.5
6/14/1982,1828.9
6/21/1982,1822.6
6/28/1982,1813.3
7/5/1982,1836.5
7/12/1982,1840.6
7/19/1982,1834.4
7/26/1982,1828.1
8/2/1982,1834.5
8/9/1982,1847.1
8/16/1982,1848.2
8/23/1982,1844.2
8/30/1982,1843.9
9/6/1982,1859.5
9/13/1982,1867
9/20/1982,1860.8
9/27/1982,1848.5
10/4/1982,1869.8
10/11/1982,1877.6
10/18/1982,1878
10/25/1982,1869.8
11/1/1982,1877.5
11/8/1982,1890.6
11/15/1982,1893.7
11/22/1982,1887.5
11/29/1982,1887.8
12/6/1982,1901.5
12/13/1982,1900.9
12/20/1982,1915.9
12/27/1982,1921.4
1/3/1983,1945.4
1/10/1983,1966.3
1/17/1983,1967.8
1/24/1983,1960.8
1/31/1983,1963.5
2/7/1983,1983.4
2/14/1983,1986.3
2/21/1983,1984.3
2/28/1983,1989
3/7/1983,2008.8
3/14/1983,2010.2
3/21/1983,2009.6
3/28/1983,2006
4/4/1983,2033
4/11/1983,2041.8
4/18/1983,2037.2
4/25/1983,2022.9
5/2/1983,2022
5/9/1983,2032.3
5/16/1983,2034.8
5/23/1983,2030.6
5/30/1983,2031
6/6/1983,2055.1
6/13/1983,2059.9
6/20/1983,2052.4
6/27/1983,2040.1
7/4/1983,2064.4
7/11/1983,2078
7/18/1983,2071.1
7/25/1983,2062
8/1/1983,2065.8
8/8/1983,2077.4
8/15/1983,2077.7
8/22/1983,2070.8
8/29/1983,2063.9
9/5/1983,2080.6
9/12/1983,2088.4
9/19/1983,2082.5
9/26/1983,2070.7
10/3/1983,2087
10/10/1983,2106
10/17/1983,2107.1
10/24/1983,2098.5
10/31/1983,2097.9
11/7/1983,2117
11/14/1983,2122.4
11/21/1983,2117.3
11/28/1983,2114.5
12/5/1983,2128.8
12/12/1983,2134
12/19/1983,2132.8
12/26/1983,2128.3
1/2/1984,2147.5
1/9/1984,2164.1
1/16/1984,2153.2
1/23/1984,2137.4
1/30/1984,2122.5
2/6/1984,2147.7
2/13/1984,2149.2
2/20/1984,2148
2/27/1984,2143.7
3/5/1984,2162.4
3/12/1984,2169.1
3/19/1984,2169
3/26/1984,2164.5
4/2/1984,2183.3
4/9/1984,2204.6
4/16/1984,2204.7
4/23/1984,2193
4/30/1984,2177.4
5/7/1984,2190.1
5/14/1984,2193.9
5/21/1984,2193.1
5/28/1984,2185.2
6/4/1984,2211.2
6/11/1984,2221.1
6/18/1984,2216.7
6/25/1984,2202.7
7/2/1984,2219.2
7/9/1984,2236.7
7/16/1984,2234.5
7/23/1984,2222.9
7/30/1984,2216.3
8/6/1984,2233.4
8/13/1984,2233.3
8/20/1984,2229.7
8/27/1984,2220
9/3/1984,2232.7
9/10/1984,2251.9
9/17/1984,2247.6
9/24/1984,2232.2
10/1/1984,2243.1
10/8/1984,2261.7
10/15/1984,2266.7
10/22/1984,2256.7
10/29/1984,2252.7
11/5/1984,2276.3
11/12/1984,2285.4
11/19/1984,2290.2
11/26/1984,2285.6
12/3/1984,2295.4
12/10/1984,2312.6
12/17/1984,2315.1
12/24/1984,2319.1
12/31/1984,2332.2
1/7/1985,2353
1/14/1985,2348
1/21/1985,2339.5
1/28/1985,2324
2/4/1985,2338.5
2/11/1985,2344.9
2/18/1985,2344.1
2/25/1985,2339.1
3/4/1985,2354.5
3/11/1985,2362.8
3/18/1985,2359.2
3/25/1985,2353.8
4/1/1985,2368.1
4/8/1985,2389.7
4/15/1985,2389.8
4/22/1985,2380.9
4/29/1985,2359.3
5/6/1985,2371.6
5/13/1985,2375.5
5/20/1985,2378.7
5/27/1985,2372.8
6/3/1985,2393.6
6/10/1985,2416.7
6/17/1985,2416.9
6/24/1985,2407.5
7/1/1985,2421.1
7/8/1985,2443.4
7/15/1985,2440.8
7/22/1985,2431.6
7/29/1985,2422.9
8/5/1985,2443.2
8/12/1985,2446.6
8/19/1985,2444.4
8/26/1985,2434.6
9/2/1985,2441.3
9/9/1985,2463.1
9/16/1985,2458.8
9/23/1985,2441.6
9/30/1985,2448.6
10/7/1985,2472.9
10/14/1985,2470.8
10/21/1985,2468.7
10/28/1985,2455.2
11/4/1985,2474.1
11/11/1985,2481.4
11/18/1985,2483.2
11/25/1985,2477.3
12/2/1985,2491.3
12/9/1985,2503.6
12/16/1985,2501.6
12/23/1985,2502.1
12/30/1985,2505.3
1/6/1986,2536
1/13/1986,2521.5
1/20/1986,2510.2
1/27/1986,2492.2
2/3/1986,2494.4
