iter	Passed	Remaining
0	2	2383
1	4	2078
2	6	2216
3	8	2187
4	10	2102
5	12	2062
6	14	2034
7	16	1998
8	18	1984
9	19	1958
10	21	1936
11	23	1909
12	24	1880
13	26	1846
14	29	1935
15	31	1909
16	32	1875
17	33	1847
18	35	1832
19	37	1815
20	38	1799
21	40	1779
22	41	1756
23	42	1734
24	44	1719
25	45	1705
26	46	1691
27	48	1678
28	49	1670
29	51	1658
30	52	1644
31	53	1630
32	55	1618
33	56	1606
34	57	1598
35	59	1590
36	60	1581
37	62	1573
38	63	1566
39	65	1566
40	66	1561
41	68	1556
42	69	1550
43	70	1542
44	72	1534
45	73	1527
46	75	1522
47	76	1517
48	77	1511
49	79	1507
50	80	1506
51	82	1501
52	83	1494
53	84	1488
54	86	1481
55	87	1475
56	88	1469
57	90	1466
58	91	1462
59	93	1459
60	94	1456
61	96	1453
62	97	1451
63	99	1448
64	100	1445
65	102	1444
66	103	1441
67	105	1439
68	106	1436
69	107	1432
70	109	1429
71	110	1426
72	112	1424
73	113	1421
74	114	1417
75	116	1412
76	117	1408
77	119	1407
78	120	1404
79	122	1404
80	123	1402
81	125	1399
82	126	1397
83	128	1397
84	129	1395
85	131	1394
86	132	1390
87	133	1386
88	135	1382
89	136	1379
90	137	1376
91	139	1379
92	141	1377
93	142	1376
94	144	1373
95	145	1371
96	146	1368
97	148	1365
98	149	1364
99	151	1363
100	152	1360
101	154	1358
102	155	1355
103	157	1352
104	158	1350
105	159	1347
106	161	1344
107	162	1341
108	163	1338
109	165	1335
110	166	1332
111	167	1329
112	169	1329
113	171	1329
114	172	1328
115	174	1327
116	175	1325
117	177	1323
118	178	1320
119	179	1317
120	181	1315
121	182	1312
122	184	1312
123	185	1312
124	187	1310
125	188	1307
126	189	1305
127	191	1302
128	192	1299
129	193	1297
130	195	1295
131	196	1292
132	197	1289
133	200	1295
134	202	1295
135	203	1294
136	205	1291
137	206	1288
138	207	1286
139	208	1283
140	210	1280
141	211	1278
142	212	1275
143	214	1276
144	216	1276
145	217	1274
146	219	1273
147	220	1271
148	222	1268
149	223	1266
150	224	1263
151	226	1261
152	227	1259
153	229	1259
154	230	1259
155	232	1257
156	234	1256
157	235	1255
158	237	1254
159	238	1252
160	239	1249
161	241	1247
162	243	1248
163	244	1247
164	246	1247
165	247	1245
166	249	1243
167	250	1241
168	252	1239
169	253	1237
170	254	1234
171	256	1234
172	257	1232
173	259	1230
174	260	1228
175	262	1227
176	263	1225
177	264	1223
178	266	1220
179	267	1218
180	268	1216
181	270	1214
182	271	1213
183	273	1211
184	274	1209
185	275	1206
186	277	1204
187	278	1202
188	279	1201
189	288	1229
190	291	1235
191	294	1241
