"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22, 2022","447,500.00","447,500.00","450,000.00","445,000.00","-","-0.22%"
"Apr 21, 2022","448,500.00","448,500.00","451,000.00","446,000.00","-","0.00%"
"Apr 20, 2022","448,500.00","448,500.00","451,000.00","446,000.00","-","-0.44%"
"Apr 19, 2022","450,500.00","450,500.00","453,000.00","448,000.00","-","0.00%"
"Apr 18, 2022","450,500.00","450,500.00","453,000.00","448,000.00","-","0.00%"
"Apr 15, 2022","450,500.00","450,500.00","453,000.00","448,000.00","-","-0.44%"
"Apr 14, 2022","452,500.00","452,500.00","455,000.00","450,000.00","-","0.00%"
"Apr 13, 2022","452,500.00","452,500.00","455,000.00","450,000.00","-","0.00%"
"Apr 12, 2022","452,500.00","452,500.00","455,000.00","450,000.00","-","-1.09%"
"Apr 11, 2022","457,500.00","457,500.00","460,000.00","455,000.00","-","-2.97%"
"Apr 08, 2022","471,500.00","471,500.00","474,000.00","469,000.00","-","0.00%"
"Apr 07, 2022","471,500.00","471,500.00","474,000.00","469,000.00","-","0.00%"
"Apr 06, 2022","471,500.00","471,500.00","474,000.00","469,000.00","-","0.00%"
"Apr 01, 2022","471,500.00","471,500.00","474,000.00","469,000.00","-","0.00%"
"Mar 31, 2022","471,500.00","471,500.00","474,000.00","469,000.00","-","0.00%"
"Mar 30, 2022","471,500.00","0.00","474,000.00","469,000.00","-","0.00%"
"Mar 29, 2022","471,500.00","471,500.00","474,000.00","469,000.00","-","-0.21%"
"Mar 28, 2022","472,500.00","0.00","475,000.00","470,000.00","-","0.00%"
"Mar 25, 2022","472,500.00","472,500.00","475,000.00","470,000.00","-","0.00%"
"Mar 24, 2022","472,500.00","472,500.00","475,000.00","470,000.00","-","0.00%"
"Mar 23, 2022","472,500.00","472,500.00","475,000.00","470,000.00","-","0.00%"
"Mar 22, 2022","472,500.00","472,500.00","475,000.00","470,000.00","-","0.00%"
"Mar 21, 2022","472,500.00","472,500.00","475,000.00","470,000.00","-","0.00%"
"Mar 18, 2022","472,500.00","472,500.00","475,000.00","470,000.00","-","0.00%"
"Mar 17, 2022","472,500.00","472,500.00","475,000.00","470,000.00","-","0.00%"
"Mar 16, 2022","472,500.00","472,500.00","475,000.00","470,000.00","-","0.00%"
"Mar 15, 2022","472,500.00","472,500.00","475,000.00","470,000.00","-","1.07%"
"Mar 14, 2022","467,500.00","467,500.00","470,000.00","465,000.00","-","0.00%"
"Mar 11, 2022","467,500.00","467,500.00","470,000.00","465,000.00","-","0.00%"
"Mar 10, 2022","467,500.00","467,500.00","470,000.00","465,000.00","-","0.00%"
"Mar 09, 2022","467,500.00","467,500.00","470,000.00","465,000.00","-","0.00%"
"Mar 08, 2022","467,500.00","467,500.00","470,000.00","465,000.00","-","0.00%"
"Mar 07, 2022","467,500.00","467,500.00","470,000.00","465,000.00","-","0.00%"
"Mar 04, 2022","467,500.00","467,500.00","470,000.00","465,000.00","-","0.00%"
"Mar 03, 2022","467,500.00","467,500.00","470,000.00","465,000.00","-","1.08%"
"Mar 02, 2022","462,500.00","462,500.00","465,000.00","460,000.00","-","2.21%"
"Mar 01, 2022","452,500.00","452,500.00","455,000.00","450,000.00","-","0.00%"
"Feb 28, 2022","452,500.00","452,500.00","455,000.00","450,000.00","-","0.44%"
"Feb 25, 2022","450,500.00","450,500.00","453,000.00","448,000.00","-","0.67%"
"Feb 24, 2022","447,500.00","447,500.00","450,000.00","445,000.00","-","0.67%"
"Feb 23, 2022","444,500.00","444,500.00","447,000.00","442,000.00","-","2.77%"
