Date,Price,Open,High,Low,Change %
15-Apr-22,"450,500.00","450,500.00","453,000.00","448,000.00",-0.0044
14-Apr-22,"452,500.00","452,500.00","455,000.00","450,000.00",0
13-Apr-22,"452,500.00","452,500.00","455,000.00","450,000.00",0
12-Apr-22,"452,500.00","452,500.00","455,000.00","450,000.00",-0.0109
11-Apr-22,"457,500.00","457,500.00","460,000.00","455,000.00",-0.0297
8-Apr-22,"471,500.00","471,500.00","474,000.00","469,000.00",0
7-Apr-22,"471,500.00","471,500.00","474,000.00","469,000.00",0
6-Apr-22,"471,500.00","471,500.00","474,000.00","469,000.00",0
1-Apr-22,"471,500.00","471,500.00","474,000.00","469,000.00",0
31-Mar-22,"471,500.00","471,500.00","474,000.00","469,000.00",0
30-Mar-22,"471,500.00",0,"474,000.00","469,000.00",0
29-Mar-22,"471,500.00","471,500.00","474,000.00","469,000.00",-0.0021
28-Mar-22,"472,500.00",0,"475,000.00","470,000.00",0
25-Mar-22,"472,500.00","472,500.00","475,000.00","470,000.00",0
24-Mar-22,"472,500.00","472,500.00","475,000.00","470,000.00",0
23-Mar-22,"472,500.00","472,500.00","475,000.00","470,000.00",0
22-Mar-22,"472,500.00","472,500.00","475,000.00","470,000.00",0
21-Mar-22,"472,500.00","472,500.00","475,000.00","470,000.00",0
18-Mar-22,"472,500.00","472,500.00","475,000.00","470,000.00",0
17-Mar-22,"472,500.00","472,500.00","475,000.00","470,000.00",0
16-Mar-22,"472,500.00","472,500.00","475,000.00","470,000.00",0
15-Mar-22,"472,500.00","472,500.00","475,000.00","470,000.00",0.0107
14-Mar-22,"467,500.00","467,500.00","470,000.00","465,000.00",0
11-Mar-22,"467,500.00","467,500.00","470,000.00","465,000.00",0
10-Mar-22,"467,500.00","467,500.00","470,000.00","465,000.00",0
9-Mar-22,"467,500.00","467,500.00","470,000.00","465,000.00",0
8-Mar-22,"467,500.00","467,500.00","470,000.00","465,000.00",0
7-Mar-22,"467,500.00","467,500.00","470,000.00","465,000.00",0
4-Mar-22,"467,500.00","467,500.00","470,000.00","465,000.00",0
3-Mar-22,"467,500.00","467,500.00","470,000.00","465,000.00",0.0108
2-Mar-22,"462,500.00","462,500.00","465,000.00","460,000.00",0.0221
1-Mar-22,"452,500.00","452,500.00","455,000.00","450,000.00",0
28-Feb-22,"452,500.00","452,500.00","455,000.00","450,000.00",0.0044
25-Feb-22,"450,500.00","450,500.00","453,000.00","448,000.00",0.0067
24-Feb-22,"447,500.00","447,500.00","450,000.00","445,000.00",0.0067
23-Feb-22,"444,500.00","444,500.00","447,000.00","442,000.00",0.0277
22-Feb-22,"432,500.00","432,500.00","435,000.00","430,000.00",0
21-Feb-22,"432,500.00","432,500.00","435,000.00","430,000.00",0.0237
18-Feb-22,"422,500.00","422,500.00","425,000.00","420,000.00",0.012
17-Feb-22,"417,500.00","417,500.00","420,000.00","415,000.00",0.022
16-Feb-22,"408,500.00","408,500.00","411,000.00","406,000.00",0.0277
15-Feb-22,"397,500.00","397,500.00","400,000.00","395,000.00",0.0127
14-Feb-22,"392,500.00","392,500.00","395,000.00","390,000.00",0.0129
11-Feb-22,"387,500.00","387,500.00","390,000.00","385,000.00",0.0265
10-Feb-22,"377,500.00","377,500.00","380,000.00","375,000.00",0
9-Feb-22,"377,500.00","377,500.00","380,000.00","375,000.00",0.0272
