time,open,high,low,close,Volume,Volume MA,HV
1613485800,818,821,792.44,796.22,19802324,24194725.3,45.76081561
1613572200,779.09,799.84,762.01,798.15,26078898,24230321.2,36.96768808
1613658600,780.9,794.69,776.27,787.38,17957058,23844879.95,36.32907766
1613745000,795,796.7899,777.37,781.3,18958255,23762886.05,36.29125347
1614004200,762.64,768.5,710.2,714.5,37269716,24623047,57.92425458
1614090600,662.13,713.6099,619,698.84,66606882,25894721.25,54.53528034
1614177000,711.85,745,694.17,742.02,36766950,26576488.6,71.79205425
1614263400,726.15,737.2066,670.58,682.22,39023855,27160983.6,79.61078255
1614349800,700,706.7,659.51,675.5,41089173,27896539.85,78.18995553
1614609000,690.11,719,685.05,718.43,27136239,27503814.1,90.14361383
1614695400,718.28,721.11,685,686.44,23732158,27420852.75,91.92748397
1614781800,687.99,700.7,651.705,653.2,30207960,27713940.1,93.19378447
1614868200,655.8,668.5,600,621.44,65919530,30092741.1,94.58370225
1614954600,626.06,627.8419,539.49,597.95,89396459,33771931,94.33819565
1615213800,600.55,620.125,558.79,563,51786958,35432947.05,88.57825636
1615300200,608.18,678.09,595.21,673.58,67523328,37801027.5,146.3827559
1615386600,700.3,717.85,655.06,668.06,60605672,40073428.55,140.6687431
1615473000,699.4,702.5,677.18,699.6,36253892,40075318.65,135.5242389
1615559400,670,694.88,666.1394,693.73,33583840,40673373,135.4776059
1615815000,694.09,713.18,684.04,707.94,29423479,40956131.3,130.9066043
1615901400,703.35,707.92,671,676.88,32195672,41575798.7,130.8230859
1615987800,656.87,703.73,651.01,701.81,40372453,42290476.45,128.4991921
1616074200,684.29,689.23,652,653.16,33369022,43061074.65,132.6145451
1616160600,646.6,657.23,624.6201,654.87,42893978,44257860.8,129.7530546
1616419800,684.59,699.62,668.75,670,39512221,44369986.05,122.0616026
1616506200,675.77,677.8,657.51,662.16,30491870,42564235.45,65.62186357
1616592600,667.91,668.02,630.11,630.27,33795174,42415646.65,71.11734201
1616679000,613,645.5,609.5,640.39,39224850,42425696.4,64.89899238
1616765400,641.87,643.82,599.89,618.71,33852827,42063879.1,66.53025207
1617024600,615.64,616.48,596.02,611.29,28636985,42138916.4,63.41106104
1617111000,601.75,637.66,591.01,635.62,39432359,42923926.45,66.96517027
1617197400,646.62,672,641.11,667.93,33337288,43080392.85,70.42153
1617283800,688.37,692.4203,659.42,661.75,35298378,41549335.25,56.48068877
1617629400,707.71,708.16,684.7,691.05,41842767,39171650.65,61.427663
1617715800,690.3,696.55,681.37,691.62,28271839,37995894.7,60.43109594
1617802200,687,691.38,667.84,670.97,26309433,35935199.95,62.98540355
1617888600,677.38,689.5499,671.645,683.8,23924329,34101132.8,54.5223912
1617975000,677.77,680.97,669.43,677.02,21437087,33360292.55,55.18998824
1618234200,685.7,704.8,682.09,701.98,29135670,33137884.05,51.20928153
1618320600,712.7,763,710.66,762.32,44652808,33899350.5,62.07878355
1618407000,770.7,780.79,728.03,732.23,49017434,34740438.6,70.2735811
1618493400,743.1,743.69,721.31,738.85,27848900,34114260.95,66.55585614
1618579800,728.65,749.41,724.6,739.78,27979526,33844786.15,65.70322131
1618839000,719.6,725.4,691.8001,714.63,39686226,33684398.55,66.9392881
