,date,numTweets,replies_count,replies_average,retweets_count,retweets_average,likes_count,likes_average
0,2022-03-05,15,56863,3790.866667,195630,13042,1655566,110371.0667
1,2022-03-04,6,4686,781,4776,796,95127,15854.5
2,2022-03-03,15,21762,1450.8,73630,4908.666667,688393,45892.86667
3,2022-03-02,20,19799,989.95,51087,2554.35,496126,24806.3
4,2022-03-01,2,7631,3815.5,14625,7312.5,259380,129690
5,2022-02-27,1,28307,28307,143636,143636,830581,830581
6,2022-02-26,4,4763,1190.75,14672,3668,126420,31605
7,2022-02-25,14,9995,713.9285714,6482,463,118899,8492.785714
8,2022-02-23,19,31649,1665.736842,37397,1968.263158,377056,19845.05263
9,2022-02-22,27,60016,2222.814815,47761,1768.925926,595935,22071.66667
10,2022-02-21,16,15983,998.9375,21178,1323.625,225564,14097.75
11,2022-02-20,9,27165,3018.333333,44590,4954.444444,591656,65739.55556
12,2022-02-19,15,25454,1696.933333,26005,1733.666667,333933,22262.2
13,2022-02-18,8,11448,1431,11763,1470.375,214159,26769.875
14,2022-02-17,9,27565,3062.777778,55799,6199.888889,486208,54023.11111
15,2022-02-16,2,2096,1048,1419,709.5,24494,12247
16,2022-02-15,7,26425,3775,22073,3153.285714,293943,41991.85714
17,2022-02-14,7,11756,1679.428571,11820,1688.571429,167105,23872.14286
18,2022-02-13,9,11372,1263.555556,9195,1021.666667,157002,17444.66667
19,2022-02-12,3,35263,11754.33333,113183,37727.66667,629910,209970
20,2022-02-11,8,9450,1181.25,9014,1126.75,122822,15352.75
21,2022-02-10,13,43487,3345.153846,62139,4779.923077,824755,63442.69231
22,2022-02-09,5,5939,1187.8,5777,1155.4,120564,24112.8
23,2022-02-08,10,45181,4518.1,65338,6533.8,604112,60411.2
24,2022-02-07,11,31012,2819.272727,48638,4421.636364,451988,41089.81818
25,2022-02-06,8,40859,5107.375,56807,7100.875,682282,85285.25
26,2022-02-05,8,7332,916.5,39214,4901.75,201684,25210.5
27,2022-02-04,13,16291,1253.153846,14927,1148.230769,216032,16617.84615
28,2022-02-03,2,9194,4597,6475,3237.5,48164,24082
29,2022-02-02,13,23948,1842.153846,18640,1433.846154,319803,24600.23077
30,2022-02-01,11,15673,1424.818182,38076,3461.454545,325439,29585.36364
31,2022-01-31,8,47392,5924,67190,8398.75,691507,86438.375
32,2022-01-30,16,65590,4099.375,151181,9448.8125,1315284,82205.25
33,2022-01-29,9,54398,6044.222222,59736,6637.333333,681532,75725.77778
34,2022-01-28,20,70927,3546.35,247316,12365.8,1476245,73812.25
35,2022-01-27,13,48648,3742.153846,123837,9525.923077,849967,65382.07692
36,2022-01-26,6,20078,3346.333333,15867,2644.5,278235,46372.5
37,2022-01-25,9,69610,7734.444444,268085,29787.22222,1657230,184136.6667
38,2022-01-21,11,36148,3286.181818,35166,3196.909091,462441,42040.09091
39,2022-01-20,5,34973,6994.6,48782,9756.4,527383,105476.6
40,2022-01-19,17,89432,5260.705882,110335,6490.294118,1110988,65352.23529
41,2022-01-18,17,48659,2862.294118,40856,2403.294118,496760,29221.17647
42,2022-01-17,12,35658,2971.5,75953,6329.416667,740149,61679.08333
43,2022-01-16,10,35557,3555.7,49050,4905,528584,52858.4
44,2022-01-15,4,45345,11336.25,31669,7917.25,385117,96279.25
45,2022-01-14,5,43498,8699.6,54185,10837,365847,73169.4
46,2022-01-13,3,4610,1536.666667,2566,855.3333333,41352,13784
47,2022-01-12,4,11611,2902.75,10961,2740.25,105576,26394
48,2022-01-11,3,5866,1955.333333,3194,1064.666667,46349,15449.66667
49,2022-01-10,3,18284,6094.666667,17836,5945.333333,178898,59632.66667
50,2022-01-09,1,20541,20541,28876,28876,291881,291881
